Data,Time,LabName,WaterTemp,pH,DissolveOxygen,TotalNitrogen,Phosphorus,TotalOrganicCarbons,Phenol,Cyan
20210410,0.291666667,안양천,14.2,6.9,5.3,9.29,0.16,5.4,0,0
20210410,0.291666667,선유,14.4,7.2,8.5,3.08,0.064,2.2,0,0
20210410,0.291666667,노량진,13.8,7.3,8.8,2.7,0.05,2.3,0,0
20210410,0.25,탄천,15.1,6.9,5.8,7.54,0.085,4.2,0,0
20210410,0.25,중랑천,15.9,7.2,6.4,5.8,0.14,4.4,0,0
20210410,0.25,안양천,14.5,6.9,5.3,9.65,0.15,5.5,0,0
20210410,0.25,선유,14.5,7.2,8.7,3.04,0.061,2.7,0,0
20210410,0.25,노량진,13.9,7.3,8.9,2.675,0.05,2.4,0,0
20210410,0.208333333,탄천,15.4,6.9,5.8,7.76,0.08,4.2,0,0
20210410,0.208333333,중랑천,16.2,7.2,6.3,5.8,0.14,4.4,0,0
20210410,0.208333333,안양천,14.8,6.9,5.2,9.25,0.225,6,0,0
20210410,0.208333333,선유,14.6,7.2,8.8,3.08,0.062,2.5,0,0
20210410,0.208333333,노량진,14.1,7.3,9,2.6,0.042,2.2,0,0
20210410,0.166666667,탄천,15.6,6.9,5.7,7.6,0.1,4.2,0,0
20210410,0.166666667,중랑천,16.4,7.2,6.5,5.8,0.14,4.4,0,0
20210410,0.166666667,안양천,15.2,6.9,5.1,9.5,0.165,5.9,0,0
20210410,0.166666667,선유,14.6,7.3,9,3.02,0.065,2.5,0,0
20210410,0.166666667,노량진,14.2,7.3,9,2.6,0.05,2.1,0,0
20210410,0.125,탄천,15.8,6.9,5.8,7.72,0.1,4.5,0,0
20210410,0.125,중랑천,16.6,7.2,6.6,5.8,0.14,4.4,0,0
20210410,0.125,안양천,15.6,6.9,4.7,9.47,0.19,5.5,0,0
20210410,0.125,선유,14.7,7.3,9.3,3,0.062,3.7,0,0
20210410,0.125,노량진,14.2,7.3,9.1,2.575,0.05,2.1,0,0
20210410,0.083333333,탄천,16.1,6.9,5.7,7.76,0.08,4.1,0,0
20210410,0.083333333,중랑천,16.9,7.2,6.9,5.8,0.14,4.8,0,0
20210410,0.083333333,안양천,16.1,6.9,4.9,8.72,0.25,5.6,0,0
20210410,0.083333333,선유,14.7,7.3,9.4,3,0.067,2.4,0,0
20210410,0.083333333,노량진,14.3,7.3,9,2.6,0.056,2.1,0,0
20210410,0.041666667,탄천,16.5,6.9,5.7,7.86,0.08,4.1,0,0
20210410,0.041666667,중랑천,17.1,7.2,7.1,5.8,0.14,5,0,0
20210410,0.041666667,안양천,16.7,6.9,4.9,8.88,0.215,5.5,0,0
